Columns,02_A1.d,03_A2.d,04_A3.d,05_A4.d,06_A5.d,07_A6.d,08_A7.d,09_A8.d,10_A9.d,100_H6.d,102_H7.d,103_H8.d,104_H9.d,105_H10.d,106_H11.d,107_H12.d,12_A10.d,13_A11.d,14_A12.d,15_B1.d,16_B2.d,17_B3.d,18_B4.d,19_B5.d,20_B6.d,22_B7.d,23_B8.d,24_B9.d,25_B10.d,26_B11.d,27_B12.d,28_C1.d,29_C2.d,30_C3.d,32_C4.d,33_C5.d,34_C6.d,35_C7.d,36_C8.d,37_C9.d,38_C10.d,39_C11.d,40_C12.d,42_D1.d,43_D2.d,44_D3.d,45_D4.d,46_D5.d,47_D6.d,48_D7.d,49_D8.d,50_D9.d,52_D10.d,53_D11.d,54_D12.d,55_E1.d,56_E2.d,57_E3.d,58_E4.d,59_E5.d,60_E6.d,62_E7.d,64_E9.d,65_E10.d,66_E11.d,67_E12.d,68_F1.d,68_F2.d,68_F3.d,72_F4.d,73_F5.d,74_F6.d,75_F7.d,76_F8.d,77_F9.d,78_F10.d,79_F11.d,80_F12.d,82_G1.d,83_G2.d,84_G3.d,85_G4.d,86_G5.d,87_G6.d,88_G7.d,89_G8.d,90_G9.d,92_G10.d,93_G11.d,94_G12.d,95_H1.d,96_H2.d,97_H3.d,98_H4.d,99_H5.d
C,1.0336214746784373,0.9951117958599515,1.0006106901741787,0.976839757662716,0.9717489102526625,1.0099671427318373,1.032763919274943,1.013822017814524,0.9805362020673233,0.9040445623245649,0.9833719412473971,0.9177042719519731,0.9198661361154571,0.9257325332389732,0.9782692168133273,1.0666459835682782,1.033889943588784,0.9761742934011577,1.003043392227353,1.002632626258677,1.0699832631257569,1.0053763966409974,0.9974085250015124,0.9466350929493643,0.9945150895787978,0.9870292354020415,1.0161459830798214,1.016264709726807,1.0139450689140797,0.9970067730512766,1.0275461397100059,1.0470688899966403,1.0100021938646389,0.9998400235958607,0.9439994020366942,1.0322590370799551,0.9995373862415112,1.0323259777426048,1.0049591505969866,0.9948386127643469,1.0278917396783054,1.0304910594684422,1.0197448269472182,1.0459172163299375,1.039832467679888,0.9578826993593418,1.02314818330453,1.0660445823980662,0.8951732346072004,1.0686055858313883,1.0285638904806043,1.0476917131370995,1.0047190337205616,0.9113541724544401,1.0459763594604525,1.027432264786561,0.9783205410211434,1.050264967060832,0.9220740530412714,1.0482988172779397,0.997643447750968,1.026600694232346,0.9159372059960905,1.0442360087054452,0.9106592067758663,1.0752786931239302,1.04198467946891,1.0906682003415178,1.036317215323057,1.0283556131993912,1.037066746834269,0.9003261423640686,1.055253410572794,0.9260049070374266,0.9337950837673202,0.9793600635018771,1.0280231244742888,1.051312383779194,0.9299089443940175,1.0486129275094676,1.0303974213834626,0.9424372401208875,1.0617281995851822,1.022185074971897,1.0372991985527116,1.061908807104208,0.9152530088662348,1.0362986996815429,0.9165856447498125,0.9857288769372808,0.9125095598082962,0.9302573377330969,1.054921302028357,1.0008758139843368,1.0747310191277053
U,0.9841127636516818,0.9814331457627717,0.9709165336367237,0.9593398504392797,1.0061324468792239,0.9859848535530518,0.9610892476581785,1.000850206912624,0.9975136953737934,0.9890800405512528,0.9641745642985441,1.0041204135463848,1.0046040070765838,1.0073112403254745,1.0307231206103928,1.008140216106023,0.9836141986401511,1.0083036652700832,1.018186463156259,0.9979317940780413,0.984050807436697,0.9937202852781186,1.0099909063605677,0.919252433255469,1.0106451514820967,1.0316206274406228,1.019114565647592,0.9775242302936047,1.0085617376940073,1.0223932678548964,1.027409189346723,1.0152462518816368,0.9802530554278674,0.9932921614738567,0.9742617859388474,0.9662860884483866,0.9878061350069828,0.996913885083605,1.0092336512251205,1.0098963290294165,1.0233531365229562,1.0119095457411174,1.016449603676253,1.0454436447660131,1.0082420287804654,0.9460008562649765,1.0094480653453666,1.0090673633733587,1.0087456082352233,0.9997363137767339,1.0149895686487418,1.0020199065937638,1.0276912332909731,1.0210747671833533,1.0370614734097903,0.9946511774644262,0.9522057997166645,1.014696937952865,1.0075408129327699,1.0308494753304045,1.0445216881800095,1.0177259724324477,1.0117662497420932,0.9779161066255674,0.9964179670068806,1.036593473776225,1.004031835439451,0.9906985771761132,1.026210755808899,1.014640793073732,0.9832261132327339,0.9919758292136222,1.018751936520579,0.9918800539590107,1.0150419565271334,0.9462852194445469,0.984119401673825,0.9903852523870502,0.973692702503571,1.0140529742335218,0.9907132808660521,0.9941563109912905,1.0457521080080507,1.0151498908588217,1.0228041293421006,0.9928897320461798,1.0020953643532926,1.025467802463876,1.0004992322371873,0.9510996301071538,0.9799559859567823,1.0065336778798664,1.012840997694252,1.0423617204462905,1.0106553740621205
G,1.0038392193712384,1.0149298667411983,1.0054238096702042,1.0172122288199736,1.0043187551969852,1.004210115501406,1.0091031476081063,0.9960103826426604,1.011012221913279,0.9988273332334292,1.0067832660706164,0.9973539475479782,0.9959625196627304,0.998982552373169,0.9913888642045946,1.0037647143106165,1.011065357767896,1.0026578207560943,1.014881751214987,1.0091418549669675,0.9976363283817093,1.0001362174875998,1.0092835914332363,1.022140070750061,1.0007442780186284,0.9907347916756397,0.9893207040619315,1.0040819294179981,0.993763838246002,0.9998638213297426,0.9887855812862406,0.9981322366222368,1.008722179282182,0.9994304084253129,1.009735396758823,1.0159012106863075,1.0009534189851514,1.0077920364768091,0.9971117723013679,1.0021864250112666,0.9981046310499796,1.0094583491774634,1.000184317480548,0.9779533089076254,0.9802570605888872,1.0081493353165958,1.0023215001833312,0.9877315452696732,0.996244392792879,1.0146986597180783,0.9893299118159276,1.003338189379469,0.9878171497066345,0.9884377247909052,0.9980864672793387,0.9906085081439988,1.003794643348408,0.9999285197446133,0.9986038330348889,0.9898079721243443,0.9690262570161029,0.9949450016055038,0.9957980737164607,1.0100769550719426,0.998532499833446,0.9859327698702968,1.004393491703849,0.9919169219056605,0.9894180336009221,0.9962134502434246,1.0053386230973984,0.999906612715555,0.994765735305071,1.0064807122731896,1.0213338446519542,1.006776908666044,1.0050628312350598,1.0072136169647092,1.0052225289730248,0.9956665390965683,1.004945412859909,1.0008790913594539,0.9673487243810296,0.989934355258419,0.9955381035067329,1.0022423975904908,1.0048799530741006,0.9986178580562802,0.9984203147363669,1.0073447377921194,0.9856706808373285,1.0004594775913709,0.9970009489081597,0.985509511905716,0.99995808157292
A,1.003302992667164,0.9888945594465891,1.0083456182734458,0.9978680467536479,0.9904123535999294,1.0017339553160136,1.0085192693401477,1.0052461462344744,0.98559681931875,1.0077324004634836,1.0101338834655076,1.0015083777443012,1.003234358237062,0.997406124525765,0.9953132851655333,0.9900936063816812,0.9932238559554302,0.9915892597965105,0.9685946060423322,0.988045442825624,1.0122264050671295,1.0032850480072228,0.9811590956187036,1.0130228679593654,0.9930338038158627,0.9957532026396397,1.0047105994275578,1.0066065802300102,1.0041917891026877,0.9877846700644539,1.000880529666699,0.9942270423983635,0.9984445219770419,1.004533779037808,1.0003129238513402,0.9958971600203884,1.0053916113801744,0.9905439363865984,0.9990216413616116,0.9913821315535439,0.9897737193244459,0.9798453371115117,0.9906193956555213,1.0064089560156553,1.0237249114030975,1.0182482091870808,0.9914369919588917,1.0125561681506117,1.000535119084885,0.9790821677289069,1.0069835019175306,0.9940967511872334,1.0021120337081826,1.0048896008746633,0.9822025077292834,1.0164228612131492,1.0210499003333346,0.9919573052419776,0.9978216191811089,0.9975087618826574,1.0197128545670116,0.9974202455677013,0.9995006609291436,0.9977982063417666,1.0040881903849492,0.9998787769629252,0.9914694234366163,1.0167383884482886,1.0006383704791069,0.9973123151698688,1.0016456535036844,1.0045808718283553,0.9971085484470749,0.9952129133273013,0.9610911137955459,1.0200573745269306,1.0015458123240228,0.9949910494037886,1.0070954951418165,0.9984218408863643,0.9980597123744106,1.0019788218294672,1.0214349429863943,1.0060284504886476,0.9937559541449381,1.000727076318072,0.9918455018800836,0.9878662771106572,1.0019870963621462,1.016575470075781,1.0316431948304954,0.9957205410723279,0.9971812445200898,0.9972885319887203,0.9941548001291887
m1G,0.986542491966435,0.98130883091305,1.0169839856757672,1.0217721182805661,0.9602355996858749,1.0030620164161204,0.9891533900724386,1.0083415267706488,0.9711222745543426,1.0146588657417508,0.9617429333747245,1.0307679917636283,1.0412306755056213,1.023628444721282,1.0638630821416946,1.014242459667453,0.9831086818808737,0.9748744231065095,1.0042294960293359,1.002452614182689,1.0177537543345203,0.9725591751259485,0.9996603906981528,0.9630885028640062,0.9754849292914661,0.9840105779326545,0.9910115613648042,1.0063118850369175,0.9845712090623712,1.01554361082586,0.9902515220180444,1.0125169621435168,0.9897852648375597,0.9812450218845764,0.9308213413146856,0.9996388290725229,1.0119070912674235,0.9814806012846592,1.0234553265400195,0.9713746373294575,0.9830430043041672,0.9801518867117907,0.9930996227128075,0.9860619751831442,0.9910549571770564,0.9390651012006661,1.020207185814223,1.0066837748052009,0.9898392638117878,1.013481234843592,1.0068834984706216,0.9956999428146307,0.9657252772402927,1.0229000598021796,0.9747754397424829,0.9799378379631635,0.9071989285741837,0.9923369529621797,1.0135825241746441,0.9981884513253197,1.0405122975627392,1.0016077135901633,1.0067596584815306,1.0111642486386319,0.9955290512692685,1.0279536911117946,1.0278431712272524,1.0492006559980176,1.004768032953828,1.0387529598737768,1.0105648791564394,1.0244046525001358,1.0036306321496669,1.0156515656444995,1.0497262646670322,0.9270716594058871,1.0357741085783132,1.0249819193645584,0.9641690542525023,1.0111818591129993,1.0284927468627443,1.0476796778885564,1.0421327726701017,1.0165088694568651,0.976135414476707,1.0235383638381204,1.013844264328824,0.9792701587320333,1.0261520759700624,0.9572454502783264,0.9924908106163647,1.0280163365762238,1.0079898111597112,1.0708408932299094,0.9972030132441017
m2G,1.0819767427772695,1.0989689991124756,0.8934599060112666,0.850549751884068,1.0432877758713386,0.9684568125916362,0.9542649292407627,0.8162961898754628,1.1091695810252167,0.7797790233088379,1.0659889600210333,1.0504724982789124,0.0,0.7540929102510564,1.7934145079118542,1.0481503514962531,0.9950455350335126,1.1501054634206873,0.7452841867810955,1.208023206706306,0.9527788910962113,0.926241165931358,0.9425119059818388,0.8618090367368557,1.0160158727296305,0.9664331037791347,1.2160028201101758,0.9682925247774263,0.7953184487414721,1.0555594135067516,1.139367203816042,0.8374001287200947,1.0328100805866354,1.0066496306540353,0.9551318939983927,0.0,1.0171647387864808,0.8330977170415083,0.9222782900871577,0.9943077935425796,0.9269525476380321,1.0745789795165195,0.8069706966737179,1.1903262218613218,0.731400114945781,0.9188458987067604,0.8761185601622655,0.8721943045405433,1.0068370304979217,1.116695357181078,1.0512563962169543,1.084266888210476,1.0434162008216483,1.026096616577472,1.1264862599001815,1.1069473578663462,0.7967731380104165,1.188179153245904,0.0,1.1430076329203123,1.0227941677013428,0.9094467083253589,1.019415970248115,0.8520794876801953,0.9861430943653814,0.8876175527088128,1.147840045925757,0.949759742122623,1.022599304035011,1.050069266186717,0.9019828619512869,1.2170941646684093,1.0573402543558608,1.0738315241918068,1.1471459205304233,0.9833329462818392,0.8926127240164292,1.1183510332827538,0.9512456979935674,0.8898010699696635,0.8325895453428092,0.8748503990194482,1.1110322375662531,0.9272626782460593,1.1005304638145794,1.1291091780840319,0.989310559759521,1.0963115901481395,1.0482782671859125,0.9616756657760416,1.1122119105803454,1.1485509194817445,0.9704660129191972,0.9153896019470744,2.2112198894352337
I,0.9858292987888482,0.9975860073269044,1.0110509373517076,1.013257544581189,0.9529011906308921,1.0147436316062608,1.0080318966896862,1.038543508617843,0.9844405563256057,1.0052572363091195,0.9502300068730481,0.971981194551761,0.9595892711753856,0.9936823472087843,1.0166766043619053,0.9890748916920544,1.0248010504136043,0.9772528097328541,0.991826104644947,0.975234871926397,1.0143476058643448,0.9621841154455151,1.012440454447524,0.9651645071072217,1.0196899108627036,1.0028733235442118,0.9872990996116617,1.0690588753135224,0.996502179573193,1.0376847023489022,0.9815221216623865,0.9982781437651064,0.9803090602623035,1.014301777217322,0.9384045164291247,1.0330334084378598,0.9640997798041636,0.9936438983541604,1.0066194082355908,0.958999534982217,0.9582485967546853,1.0003386320451135,1.0041724531469185,0.9847518937154585,0.992734225270253,0.9020799682709231,0.9477532558063604,0.97688534399328,0.9794904538655917,1.0767440940170216,0.9647773882829089,0.9679303602324847,0.9869914229228922,0.9977021892320147,0.9558895682605646,0.9818103995366254,0.9200150369222782,1.0003542057526684,1.0226478086088964,1.0256735247516007,0.9855685431957294,1.0160149263674403,1.0144823982066429,1.0527609544952965,0.9676019716802986,0.9734917616096954,0.9768299879710943,1.0203747828917762,0.9779942947722123,1.0084287367803968,0.9886044677610247,0.9659787164475686,1.0129508756686272,1.0051303523735735,1.0203850034537538,0.914340162476278,0.9824610412673734,1.0168923439462472,0.9731340036731404,1.000670525214431,1.006578646117352,1.0094820186976576,1.0304257460257733,0.9812174991630673,0.9994383172009452,0.9921608445453682,0.9992216873747809,0.9934503986076606,1.0234258105620326,0.9306623711927162,1.6647315975367865,1.0031671196143819,0.9753744059568156,0.988360650762127,1.0087004169343776
ho5U,1.081463078954531,1.0520524646211522,0.8400743102546254,0.9745204136053364,0.8485151315918914,0.9939184553112734,0.9305828837685391,0.9198156941970621,0.9557727310531592,1.0323337339542584,1.1257858964678074,1.173196256587412,1.0952730132044686,1.1712983392834078,0.73394819265435,1.1290455821251395,0.9268993995559512,0.8867526003195118,1.1211451301258393,1.058109949301705,0.97299054938722,1.0245101617452896,1.0938282298122946,0.975439453953535,0.9588443887654797,1.016273135044113,0.8780827388732629,0.9994091910961739,1.0759477701059927,0.5819008636379976,1.212302710188439,1.1881116440355,0.9644403396783683,0.9997491107907304,1.0175183333723807,0.8658389022067841,0.418611202801454,1.0460132148923011,1.1503083027212195,0.8210651269374002,1.0889251970736,1.0817388308394973,0.9838413486196864,0.8837404800575409,1.090126335171093,0.9925118444282806,1.0470600814552196,0.7579240445721812,0.7086977670265457,1.4398831841704869,1.0872048742145861,0.9423554374931742,1.0684494946498766,0.9266234543918073,1.2279676756602882,1.058205165331631,1.1090052740832,1.0848734469453232,0.7592028457449056,1.1234891398801063,0.30324934131046527,1.296335769312781,1.0073324355602271,1.0111331377925048,1.2000312389087435,1.0256580428923763,1.0622800587348515,0.6747750542445103,1.2027492916442528,1.388254119833302,0.9956651354678424,0.7843361453457044,1.0786810957096011,1.1134811144478536,0.50307105903551,1.0874020413792465,1.2150972466376526,1.217130004945577,1.0106996687688143,1.051084521855652,1.0909686043094429,0.9383830472947423,1.0483170424145687,1.2169244305445541,1.0506580432292527,1.1429486737130894,0.5029211706867087,1.070273821341689,1.086310794156086,1.0415663587352195,1.0523614284103664,1.0401263865803594,1.024422097079101,0.44475396541559087,1.1345923466439571
s2C,1.0198622825888624,1.0152780353729216,1.0566161438690829,1.038349071783773,0.9944880921677032,1.025039855183464,1.035484610776365,1.061643297131263,1.0090982044839967,1.0511176217325955,1.0018929378782473,0.9991757728930486,0.9757480620201088,1.0427727818654775,0.9942978647853257,0.9841539124746093,1.034933740204547,1.017659231110271,1.063231024218573,0.9780287535201735,1.0515577590662006,1.0086768047127312,1.0059586558628562,0.9823709827171386,1.0359794363991424,0.977833702617487,1.0313356740861728,1.0285249067352225,1.0137912360322348,1.0007948210721787,1.0184715805061264,1.0096078361903311,1.0190216578970699,1.0206905290574417,0.9711169553084161,0.9878449229805392,1.0196658454283076,1.0161229409761066,0.9906629971067595,0.9850171264730772,0.9795246198122937,0.9988298226320795,1.0347764139212208,0.9855030941344188,1.0128921333380017,0.9352346718831195,0.974203630212079,0.9686806636798067,0.9977816319000844,0.9984901690715307,1.0030441073593492,0.9917994560456914,0.9538244202831541,0.9845994743627269,0.9518374231794653,0.9670751967297369,0.9424335453401909,0.9882872160228973,1.0012502395492648,0.9348408907057624,0.9358066449489868,1.009693018695069,1.0435470868725163,0.9965703656638234,1.0137412537475758,0.9949321906722152,0.9960864203884673,0.9824019401245712,0.9837918242722282,1.010475018281402,0.9946256577182281,0.983341066476136,1.0024267373843554,1.0004668956508886,0.9711841557402282,0.926555462594114,1.0294632460337927,1.0154084347822874,0.9201091655464042,0.9717568444313661,0.9810196361161443,0.995639064262252,0.9928564743086509,0.9664783650104523,0.9745242342596656,1.012993615074013,1.01400058922218,1.0084844832194,1.0264022395608026,0.9820772903395395,1.006070363870843,1.0037086292382096,1.0032590021249903,1.023356483835767,0.9288079096520533
15N-dA,0.971766228455896,0.8611541438733412,1.0025461271703278,0.7756111291543293,0.9394313340817237,0.7790352390563255,1.0756574454748717,0.8589071610030239,0.9991160143574324,0.905289299367618,0.7280048675462939,0.937498356397779,0.9774008754856517,0.8511804877840935,1.9317956272000485,1.2308016075854633,0.93163125465459,0.9368966502078758,0.8122635029120814,1.082720606116326,0.91076119119269,1.0528457512126184,0.8694376524546811,0.9401432934573153,0.8386713424910227,1.297086388798875,0.8783402992828692,0.949259913993577,0.9773430075286811,1.2153483266519154,1.2139301714153263,0.9410044791598076,0.9725195842122794,1.0161357488928633,0.8914115612905144,0.9987504175280819,0.950544701473868,1.0944170256634966,1.278396519425817,1.0504131039917568,1.0191039518736729,0.9495700274841988,1.0819618936525794,1.1447712987756233,0.8875526407668626,0.8300479783977698,0.9420128668722917,1.0801741425431222,0.9797735776319432,1.6761489579971993,1.1290815041162108,1.0240922988989,1.0676065262316592,1.0288631777805215,1.2038158264168008,1.0661786985609034,0.8462073844649506,1.0620921344219714,0.7940694433818631,1.2325749963592345,1.1271659653983577,1.1124189658748014,0.9497488534426318,1.1053175934404034,0.9833930334245751,1.0076655884527974,1.0326339998935576,1.1118853823878738,1.1566451434248466,0.9385207037641157,0.9499442606729822,1.0601370265788388,1.0472392429098807,1.0351498013260982,1.755779311535738,0.9018177460735726,0.9366171818397362,1.107338001022874,0.8855301450979781,0.9486978304412872,1.0021213369672513,1.056514024976373,1.245963602958041,1.1491010827960566,1.146089887268861,1.1042483003856314,1.028463723786539,0.9797145820222536,0.9241443037169156,0.9368051614791957,0.7763231395261126,0.8544244266036694,0.909561360408957,0.8002812980136692,1.3717235536844206
